UNITID,SECTOR
481395,Private for-profits
371830,Private for-profits
442204,Private for-profits
488192,Private for-profits
113582,Private for-profits
441256,Private for-profits
482431,Private for-profits
476780,Private for-profits
395690,Private for-profits
451006,Private for-profits
114044,Private for-profits
461607,Private for-profits
114114,Private for-profits
114123,Private for-profits
417062,Private for-profits
114460,Private for-profits
114354,Private for-profits
114415,Private for-profits
248846,Private for-profits
114390,Private for-profits
114585,Private for-profits
476513,Private for-profits
114761,Private for-profits
372073,Private for-profits
461254,Private for-profits
486099,Private for-profits
115010,Private for-profits
449384,Private for-profits
122366,Private for-profits
459213,Private for-profits
114628,Private for-profits
454795,Private for-profits
450960,Private for-profits
484002,Private for-profits
115658,Private for-profits
480000,Private for-profits
488411,Private for-profits
486965,Private for-profits
115931,Private for-profits
431141,Private for-profits
483373,Private for-profits
366289,Private for-profits
450669,Private for-profits
481960,Private for-profits
457208,Private for-profits
442888,Private for-profits
458195,Private for-profits
443571,Private for-profits
116226,Private for-profits
462336,Private for-profits
461175,Private for-profits
475097,Private for-profits
113449,Private for-profits
485519,Private for-profits
448451,Private for-profits
456427,Private for-profits
459639,Private for-profits
437219,Private for-profits
116466,Private for-profits
467058,Private for-profits
116484,Private for-profits
413848,Private for-profits
108250,Private for-profits
381909,Private for-profits
116475,Private for-profits
244011,Private for-profits
378406,Private for-profits
428125,Private for-profits
117238,Private for-profits
454786,Private for-profits
481298,Private for-profits
483957,Private for-profits
423980,Private for-profits
452036,Private for-profits
111009,Private for-profits
483221,Private for-profits
476744,Private for-profits
117548,Private for-profits
490124,Private for-profits
446385,Private for-profits
436429,Private for-profits
117955,Private for-profits
118143,Private for-profits
118134,Private for-profits
118161,Private for-profits
449366,Private for-profits
411684,Private for-profits
475282,Private for-profits
454698,Private for-profits
476595,Private for-profits
440819,Private for-profits
454546,Private for-profits
460516,Private for-profits
454573,Private for-profits
457077,Private for-profits
489760,Private for-profits
448895,Private for-profits
482060,Private for-profits
442657,Private for-profits
112288,Private for-profits
118958,Private for-profits
371928,Private for-profits
118994,Private for-profits
398130,Private for-profits
118189,Private for-profits
118198,Private for-profits
119270,Private for-profits
490337,Private for-profits
439747,Private for-profits
455868,Private for-profits
371964,Private for-profits
119553,Private for-profits
447759,Private for-profits
461148,Private for-profits
119845,Private for-profits
119775,Private for-profits
119951,Private for-profits
372028,Private for-profits
484376,Private for-profits
120087,Private for-profits
120069,Private for-profits
445364,Private for-profits
484367,Private for-profits
120078,Private for-profits
444130,Private for-profits
120272,Private for-profits
422695,Private for-profits
378576,Private for-profits
115746,Private for-profits
447731,Private for-profits
447722,Private for-profits
365125,Private for-profits
121017,Private for-profits
442240,Private for-profits
459231,Private for-profits
459198,Private for-profits
459170,Private for-profits
454768,Private for-profits
455761,Private for-profits
449968,Private for-profits
449986,Private for-profits
457323,Private for-profits
439871,Private for-profits
434140,Private for-profits
490878,Private for-profits
260789,Private for-profits
432384,Private for-profits
480204,Private for-profits
121275,Private for-profits
416458,Private for-profits
437750,Private for-profits
121433,Private for-profits
461698,Private for-profits
114637,Private for-profits
490197,Private for-profits
121992,Private for-profits
382267,Private for-profits
455752,Private for-profits
490160,Private for-profits
447458,Private for-profits
476911,Private for-profits
121868,Private for-profits
456588,Private for-profits
456597,Private for-profits
115357,Private for-profits
121859,Private for-profits
457244,Private for-profits
486187,Private for-profits
486372,Private for-profits
454777,Private for-profits
122685,Private for-profits
461500,Private for-profits
481128,Private for-profits
122834,Private for-profits
122852,Private for-profits
433420,Private for-profits
121637,Private for-profits
123350,Private for-profits
110778,Private for-profits
123642,Private for-profits
461856,Private for-profits
399869,Private for-profits
459222,Private for-profits
490063,Private for-profits
413680,Private for-profits
489371,Private for-profits
446561,Private for-profits
400080,Private for-profits
483610,Private for-profits
368832,Private for-profits
108348,Private for-profits
483230,Private for-profits
484206,Private for-profits
486123,Private for-profits
372000,Private for-profits
481562,Private for-profits
461227,Private for-profits
